week,location,average_price
15/09/2018,170.87(165.43),151.04(149.92)
08/09/2018,168.96(171.23),154.24(148.41)
01/09/2018,170.78(167.65),156.89(150.40)
25/08/2018,173.53(176.74),156.75(153.87)
18/08/2018,181.20(179.36),158.15(153.62)
11/08/2018,181.60(179.36),160.76(156.91)
04/04/2018,184.80(172.64),162.80(157.15)
28/07/2018,186.91(178.67),164.58(154.10)
21/07/2018,185.11(181.57),164.19(151.93)
14/07/2018,189.75(177.56),163.99(151.95)
07/07/2018,197.96(189.36),161.81(153.24)
30/06/2018,196.80(184.15),165.32(151.22)
23/06/2018,188.19(179.98),168.70(157.82)
16/06/2018,182.49(176.75),161.37(157.68)
09/06/2018,174.75(171.31),153.80(150.64)
02/06/2018,169.82(159.56),151.75(140.27)
26/05/2018,171.01(160.02),143.04(131.51)
19/05/2018,180.60(171.53),146.64(132.07)
12/05/2018,187.78(172.36),146.66(139.69)
05/05/2018,186.67(175.16),155.39(142.32)
28/04/2018,167.10(163.15),161.55(149.23)
21/04/2018,164.51(159.46),154.58(158.91)
14/04/2018,123.79(125.10),155.00(161.71)
07/04/2018,143.14(115.00),143.14(115.00)
31/03/2018,NS(NS),98.31(106.47)
24/03/2018,111.02(118.10),NS(NS)
17/03/2018,NS(107.55),NS(109.65)
10/03/2018,NS(108.97),99.46(104.71)
03/03/2018,116.89(110.57),99.35(106.29)
24/02/2018,116.79(112.03),99.89(110.53)
17/02/2018,120.71(120.49),103.30(106.56)
10/02/2018,123.87(127.53),104.79(105.66)
03/02/2018,131.21(136.06),108.48(106.32)
27/01/2018,130.46(138.89),112.10(111.24)
20/01/2018,135.68(144.37),120.65(118.39)
14/01/2018,141.71(145.34),126.54(119.83)
07/01/2018,149.26(153.46),132.73(124.00)
28/12/2019,159.24(162.56),134.74(133.79)
21/12/2019,163.07(167.97),139.32(137.09)
